"townid","town","county","x","full_address","full_address_Ire","lon","lat"
1619,"Galbally","Limerick","","Galbally,Limerick","Galbally,Limerick,Ireland",-8.2961252,52.4012269
1731,"Galmoy","Kilkenny","","Galmoy,Kilkenny","Galmoy,Kilkenny,Ireland",-7.5682442,52.7925692
467,"Galway City","Galway","","Galway City,Galway","Galway City,Galway,Ireland",-9.0567905,53.270668
2361,"Garadice","","","Garadice,","Garadice,,Ireland",-7.7378914,54.06123
2464,"Garrettstown","Cork","","Garrettstown,Cork","Garrettstown,Cork,Ireland",-8.6026543,51.6492243
434,"Garrison","Fermanagh","","Garrison,Fermanagh","Garrison,Fermanagh,Ireland",-8.0903299,54.4161801
373,"Garristown","Dublin","","Garristown,Dublin","Garristown,Dublin,Ireland",-6.3835624,53.5668673
1621,"Garristown","Meath","","Garristown,Meath","Garristown,Meath,Ireland",-6.3835624,53.5668673
2560,"Garryhill","Carlow","","Garryhill,Carlow","Garryhill,Carlow,Ireland",-6.854257,52.6790856
1533,"Garryowen","Limerick","","Garryowen,Limerick","Garryowen,Limerick,Ireland",-8.6021563,52.6596812
1958,"Garryspillane","Limerick","","Garryspillane,Limerick","Garryspillane,Limerick,Ireland",-8.3780093,52.4105104
2275,"Garryvoe","Cork","","Garryvoe,Cork","Garryvoe,Cork,Ireland",-8.01598,51.87198
2108,"Gartnasilla","Cavan","","Gartnasilla,Cavan","Gartnasilla,Cavan,Ireland",-7.3633319,53.9897186
1747,"Garvagh","Derry","","Garvagh,Derry","Garvagh,Derry,Ireland",-7.2772377,55.0055815
1740,"Gathabaun","Kilkenny","","Gathabaun,Kilkenny","Gathabaun,Kilkenny,Ireland",-7.4716101,52.7668556
777,"Geashill","Offaly","","Geashill,Offaly","Geashill,Offaly,Ireland",-7.3209776,53.2352224
2014,"Geashill","Laois","","Geashill,Laois","Geashill,Laois,Ireland",-7.2883501,53.0411023
2135,"Geataban","Kilkenny","","Geataban,Kilkenny","Geataban,Kilkenny,Ireland",-7.2447879,52.6541454
2053,"Geesala","Mayo","","Geesala,Mayo","Geesala,Mayo,Ireland",-9.8984262,54.1120149
1806,"Geevagh","Sligo","","Geevagh,Sligo","Geevagh,Sligo,Ireland",-8.250077,54.0989357
29,"Gilford","","","Gilford,","Gilford,,Ireland",-6.3610955,54.3719875
308,"Gilford","Down","","Gilford,Down","Gilford,Down,Ireland",-6.3610955,54.3719875
167,"Glandore","Cork","","Glandore,Cork","Glandore,Cork,Ireland",-9.1209722,51.5665072
1936,"Glangevlin","Cavan","","Glangevlin,Cavan","Glangevlin,Cavan,Ireland",-7.8926491,54.1921467
168,"Glanmire","Cork","","Glanmire,Cork","Glanmire,Cork,Ireland",-8.3981691,51.9177097
1097,"Glantane","Cork","","Glantane,Cork","Glantane,Cork,Ireland",-8.7557939,52.1037226
169,"Glanworth","Cork","","Glanworth,Cork","Glanworth,Cork,Ireland",-8.3567368,52.1866296
1245,"Glasheen","Cork","","Glasheen,Cork","Glasheen,Cork,Ireland",-8.4999555,51.8871643
763,"Glaslough","Monaghan","","Glaslough,Monaghan","Glaslough,Monaghan,Ireland",-6.8971168,54.3172784
374,"Glasnevin","Dublin","","Glasnevin,Dublin","Glasnevin,Dublin,Ireland",-6.2668995,53.3788903
1809,"Glasnevin Downs","Dublin","","Glasnevin Downs,Dublin","Glasnevin Downs,Dublin,Ireland",-6.2846822,53.3790619
1279,"Glasnevin North","Dublin","","Glasnevin North,Dublin","Glasnevin North,Dublin,Ireland",-6.2848223,53.3930285
2346,"Glassdrummond","Armagh","","Glassdrummond,Armagh","Glassdrummond,Armagh,Ireland",-6.8073192,54.2558506
981,"Glasson","Westmeath","","Glasson,Westmeath","Glasson,Westmeath,Ireland",-7.8639073,53.4699107
2544,"Glasstown","Cavan","","Glasstown,Cavan","Glasstown,Cavan,Ireland",-7.5210007,54.0443899
1297,"Glasthule","Dublin","","Glasthule,Dublin","Glasthule,Dublin,Ireland",-6.1260273,53.2879129
1670,"Glebe","Longford","","Glebe,Longford","Glebe,Longford,Ireland",-7.79897,53.56054
1818,"Glebemount","","","Glebemount,","Glebemount,,Ireland",-6.0564395,52.9841969
1436,"Glen of Aherlow","Tipperary","","Glen of Aherlow,Tipperary","Glen of Aherlow,Tipperary,Ireland",-8.1444444,52.4169444
2062,"Glenade","Leitrim","","Glenade,Leitrim","Glenade,Leitrim,Ireland",-8.2968147,54.3807106
